pr,"	Year", Month, Country, ISO3, ISO2
45.2501,1991,1,USA,,
34.5711,1991,2,USA,,
68.595,1991,3,USA,,
63.5456,1991,4,USA,,
73.3747,1991,5,USA,,
60.212,1991,6,USA,,
64.8082,1991,7,USA,,
59.5409,1991,8,USA,,
58.4347,1991,9,USA,,
48.5126,1991,10,USA,,
52.4319,1991,11,USA,,
56.1145,1991,12,USA,,
43.7958,1992,1,USA,,
46.7883,1992,2,USA,,
51.6268,1992,3,USA,,
40.496,1992,4,USA,,
48.0371,1992,5,USA,,
73.5842,1992,6,USA,,
84.2029,1992,7,USA,,
69.7224,1992,8,USA,,
55.1799,1992,9,USA,,
37.1292,1992,10,USA,,
69.0711,1992,11,USA,,
58.9983,1992,12,USA,,
66.3605,1993,1,USA,,
44.4942,1993,2,USA,,
55.2914,1993,3,USA,,
55.1449,1993,4,USA,,
59.5504,1993,5,USA,,
78.2037,1993,6,USA,,
66.551,1993,7,USA,,
70.7022,1993,8,USA,,
70.0811,1993,9,USA,,
50.6273,1993,10,USA,,
49.7497,1993,11,USA,,
41.7792,1993,12,USA,,
46.539,1994,1,USA,,
41.8655,1994,2,USA,,
50.9986,1994,3,USA,,
55.1196,1994,4,USA,,
49.4501,1994,5,USA,,
64.665,1994,6,USA,,
71.1312,1994,7,USA,,
67.1373,1994,8,USA,,
50.7183,1994,9,USA,,
59.5041,1994,10,USA,,
63.4506,1994,11,USA,,
46.9965,1994,12,USA,,
59.9947,1995,1,USA,,
32.5575,1995,2,USA,,
56.1221,1995,3,USA,,
55.0627,1995,4,USA,,
81.3489,1995,5,USA,,
69.9705,1995,6,USA,,
65.7867,1995,7,USA,,
63.6841,1995,8,USA,,
51.7976,1995,9,USA,,
55.282,1995,10,USA,,
44.7085,1995,11,USA,,
43.5197,1995,12,USA,,
54.0489,1996,1,USA,,
43.3719,1996,2,USA,,
45.3865,1996,3,USA,,
49.1364,1996,4,USA,,
65.9297,1996,5,USA,,
64.2109,1996,6,USA,,
70.8722,1996,7,USA,,
63.1441,1996,8,USA,,
74.5662,1996,9,USA,,
51.7774,1996,10,USA,,
60.01,1996,11,USA,,
60.7588,1996,12,USA,,
56.1038,1997,1,USA,,
47.645,1997,2,USA,,
45.8641,1997,3,USA,,
55.5501,1997,4,USA,,
57.2011,1997,5,USA,,
70.5986,1997,6,USA,,
61.9219,1997,7,USA,,
69.3125,1997,8,USA,,
58.3263,1997,9,USA,,
51.6266,1997,10,USA,,
48.1161,1997,11,USA,,
46.5633,1997,12,USA,,
63.5793,1998,1,USA,,
60.9542,1998,2,USA,,
